timestamp,transaction_hash,from,to,value (ETH),gas,gas_used,is_error,error_code,metadata
2023-12-31 23:00:23,0x50edd2873907a3454a9c8cc8d242b6d0e365ec71263e4fb8cb9e935e151fcbaa,0xbe6e45661c633fd1a1825389dec680e62c1c7d51,0x0231b537b8f1c46b6cb4f7d9ec6d56951a66ff41,12.201526377331376,57218.0,52418.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:03:11,0xa6c2e92d1853317c3766480ee20aef21e72f9b2f316cdd3adc34f37f58140591,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0xa179f75a8f741cc664b0ae61c0dcad0a89d88471,2.74907197,2000000.0,944956.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:03:23,0x38f95d5d1ddf4503f045ad0bd2327efe0d60b11de375f4014cbfbb979c3238bb,0x05468703b5e6a9182cd6bb9b8ef93bdc51c37a20,0x360b9726186c0f62cc719450685ce70280774dc8,18.2,336973.0,245737.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:04:23,0xcd59c2bbfa2b401b4127545fc369e5f5a687b1c30b6e68714afcc357ee871f2a,0xc251584479203eaf7a14dce8d63f5b1074004b42,0xa732fb63037ef408155768e6973d4bd687a315d4,4.842229390996082,68661.0,52418.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:04:59,0xd0918daaa242ea8128f34be2a6a05b5334c0659bc6f4f095e8b18cd5604d268b,0x0c662179581ad57946e7b3351a3ce71510c4835d,0xe3031c1bfaa7825813c562cbdcc69d96fcad2087,81.67674,250000.0,45979.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:05:11,0x1b25012b190f0ea9c768828172f2c0a96c5780fbaad8da03a95403d51c5d7036,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0x51c72848c68a965f66fa7a88855f9f7784502a7f,1693.8040058281829,143571.0,114857.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:06:11,0x1d37f929d02c86aca0c0f31ec3ced408e3e8e3e5dc8d10e9dee09aeadb917038,0x3470447f3cecffac709d3e783a307790b0208d60,0x51c72848c68a965f66fa7a88855f9f7784502a7f,194.49562568168287,157916.0,126333.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:07:11,0x973576c098189ca226a802d3add39bca199d1377a130580577e8fced908dfc85,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0x51c72848c68a965f66fa7a88855f9f7784502a7f,2028.8967342092199,143571.0,114857.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:07:11,0x60f3ea331b34db0c5ae5bb6e094c32a34596934b0f392fcef01cbc72be39f30b,0xc71005ab62311fd6ee8255c8a38d1b441524b885,0x9c956afb897eb431af3f0cec2748428892151b65,3.48077829,112468.0,85175.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:07:35,0x76346a486cadccce8b4480b0fe6fd260b8c45eca563bd7ef105a78ab2a7e939d,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0x2d722c96f79d149dd21e9ef36f93fc12906ce9f8,2022.2690758170934,237694.0,195380.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:09:35,0xdd3e69d7c0aebfb96ae57e0599bbf79e6343d28e5d87d94cd0103ffc447386fb,0x0c662179581ad57946e7b3351a3ce71510c4835d,0xe3031c1bfaa7825813c562cbdcc69d96fcad2087,15.743449,250000.0,41155.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
2023-12-31 23:10:23,0x3fda11a8be60b868a16ef40f3bb632c345d7dcfa333db12a611c4d3710e69149,0x05e6aae326845a13a3aa9c272d1ce28e1f998256,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,294.28375802,60000.0,35318.0,0,,"{""protocol_name"": ""Uniswap"", ""type"": ""DEX"", ""blockchain"": ""ethereum"", ""contract_id"": ""c944b5855a3b2d8cbe4367a3f7561854""}"
